имя,фамилия,год рождения,место проживания,место работы,средняя зарплата в год,образование,судимости
Андрей,Абдрахманов,1972,Баку,ГК Ромашка,45103,Среднее специальное,нету
Эрмек,Jackson,1989,Бишкек,Фабрика,69721,Магистр,нету
Эрмек,Жолдошев,1966,Сеул,Салон Красоты,83759,Магистр,нету
Улан,Соколов,2002,Алматы,Салон Красоты,72889,Бакалавр,нету
Анна,Беляев,1973,Астана,MegaCorp,40697,Среднее,нету
Aisha,Кузнецов,1946,Лондон,Медцентр,51674,Бакалавр,нету
Алиса,Карабаев,1980,Тбилиси,Медцентр,42249,Среднее,нету
Robert,Султанов,1997,Алматы,GreenFarm,84835,Магистр,нету
Данияр,Орлов,1950,Новосибирск,GreenFarm,39839,Среднее специальное,нету
Дмитрий,Singh,1969,Мехико,Банк,30917,Среднее,нету
William,Курманалиев,1959,Нарын,Школа №1,115479,Доктор,нету
David,Harris,2003,Токтогул,Фабрика,37992,Неполное высшее,нету
Mehmet,Калмурзаев,1956,Новосибирск,IT Studio,81959,Магистр,нету
Артур,Taylor,1963,Новосибирск,ООО Строй,43994,Бакалавр,есть
Нурлан,Эргешов,1998,Нарын,Ресторан,39973,Среднее,нету
Элина,Anderson,1972,Нарын,ООО Строй,24661,Среднее,есть
Чыңгыз,Попов,1940,Кант,ТранспортСервис,38275,Среднее специальное,нету
Isabella,Попов,1962,Кант,Университет,32084,Среднее,нету
Асель,Wang,1995,Каракол,Нет места работы,47182,Неполное высшее,нету
Улан,Сатыбалдиев,1995,Жалал-Абад,Фабрика,75931,Магистр,нету
David,Воробьев,1980,Нью-Йорк,Университет,88458,Доктор,нету
Светлана,Лебедев,1969,Талас,Салон Красоты,31858,Среднее,нету
Mehmet,Попов,1996,Санкт-Петербург,ГК Ромашка,120647,Доктор,нету
Юлия,Гусев,1984,Нарын,Global Tech,46409,Неполное высшее,нету
Emma,Rahman,1967,Тбилиси,Банк,69286,Доктор,есть
Максим,Исаев,2003,Берлин,ГК Ромашка,35813,Среднее,нету
Марина,Асанов,1959,Бишкек,Университет,39142,Среднее,нету
Жаныбек,Иванов,1982,Ош,GreenFarm,54739,Бакалавр,нету
Андрей,Бектуров,1981,Токио,Ресторан,21837,Среднее,есть
Айбек,Киселев,1970,Стамбул,Банк,72239,Магистр,нету
Michael,Бектуров,1959,Токтогул,IT Studio,47687,Неполное высшее,нету
Елена,Байгазиев,1952,Пекин,Ресторан,44111,Среднее специальное,нету
Emma,Anderson,1951,Стамбул,Салон Красоты,37608,Среднее специальное,нету
Liu,Ниязов,1999,Берлин,Нет места работы,41760,Неполное высшее,нету
Yuki,Соколов,1977,Екатеринбург,Медцентр,52721,Среднее специальное,нету
Айнура,Исаев,2006,Новосибирск,АО Техно,27664,Неполное высшее,есть
Liu,Anderson,1992,Токтогул,ТранспортСервис,40354,Среднее специальное,нету
Ольга,Gonzalez,1942,Токтогул,Ресторан,52698,Бакалавр,нету
James,Жолдошев,1980,Тбилиси,Фабрика,59888,Бакалавр,нету
Станислав,Соловьев,1963,Нарын,ГК Ромашка,62133,Бакалавр,нету
Дмитрий,Иванов,1990,Токтогул,Ресторан,42560,Среднее,нету
Omar,Жолдошев,1986,Париж,IT Studio,53727,Бакалавр,нету
Татьяна,Петров,1964,Токтогул,Школа №1,67087,Магистр,нету
Юлия,Абдрахманов,1995,Пекин,IT Studio,70290,Бакалавр,нету
Юлия,Garcia,1994,Бишкек,Университет,43911,Среднее,нету
Ahmed,Сидоров,1997,Тбилиси,Ресторан,34259,Неполное высшее,нету
Иван,Павлов,1995,Новосибирск,MegaCorp,89786,Магистр,нету
Николай,Martinez,1991,Алматы,Нет места работы,39965,Среднее специальное,нету
Павел,Wang,1942,Новосибирск,Салон Красоты,73189,Бакалавр,нету
Наталья,Lopez,1984,Екатеринбург,Ферма,42101,Бакалавр,есть
Maria,Сафонов,2004,Кызыл-Кыя,Университет,54784,Бакалавр,нету
Азамат,Абдыкадыров,1993,Пекин,Нет места работы,84059,Магистр,нету
Владимир,Егоров,1976,Париж,Ферма,55395,Бакалавр,нету
Omar,Зайцев,1993,Алматы,Нет места работы,33743,Неполное высшее,нету
Бакыт,Байгазиев,1960,Талас,Нет места работы,62903,Магистр,нету
David,Семенов,1969,Токтогул,ТранспортСервис,70281,Бакалавр,нету
Isabella,Нурматов,1959,Сеул,АО Техно,74100,Бакалавр,нету
Maria,Harris,1954,Токтогул,ГК Ромашка,71598,Бакалавр,нету
Михаил,Gonzalez,1953,Талас,Банк,69285,Бакалавр,нету
Maria,Gonzalez,2003,Нью-Йорк,Медцентр,64608,Магистр,нету
Алиса,Jackson,1993,Стамбул,Компания А,58562,Бакалавр,нету
Кирилл,Соколов,1974,Санкт-Петербург,ООО Строй,55281,Бакалавр,нету
Yuki,Taylor,1969,Каракол,Университет,88430,Магистр,нету
Wei,Сатыбалдиев,1943,Екатеринбург,ИП Сидоров,21779,Среднее,есть
Асель,Johnson,1961,Новосибирск,Медцентр,43039,Среднее,нету
Павел,Kim,1977,Новосибирск,IT Studio,48267,Среднее специальное,нету
Асель,Молдокулов,1941,Пекин,Ресторан,40483,Неполное высшее,нету
Дарья,Chen,1996,Париж,Ферма,47328,Неполное высшее,нету
Ольга,Смирнов,2008,Москва,нет места работы,0,Среднее специальное,нету
Елена,Kim,2009,Жалал-Абад,нет места работы,0,Неполное высшее,нету
Liu,Patel,1979,Астана,Нет места работы,47476,Неполное высшее,нету
Carlos,Курманалиев,1970,Пекин,ГК Ромашка,69373,Бакалавр,нету
Сезим,Курманалиев,2004,Санкт-Петербург,Университет,34445,Среднее,нету
Алексей,Harris,1983,Кызыл-Кыя,MegaCorp,85344,Магистр,нету
Софья,Молдокулов,1978,Жалал-Абад,Медцентр,68945,Бакалавр,нету
Wei,Исаев,1953,Москва,Университет,37694,Среднее специальное,нету
William,Brown,1950,Нарын,Университет,31319,Среднее,нету
Yuki,Johnson,2006,Стамбул,Салон Красоты,52930,Среднее специальное,нету
Omar,Taylor,1960,Каракол,Global Tech,50670,Среднее специальное,нету
Ирина,Соловьев,1998,Алматы,ГК Ромашка,38761,Среднее,нету
Robert,Семенов,1955,Санкт-Петербург,ТранспортСервис,40007,Бакалавр,есть
Сезим,Жолдошев,1977,Алматы,Салон Красоты,30901,Среднее,нету
Айгерим,Бектуров,1967,Талас,ТранспортСервис,63015,Магистр,нету
Михаил,Taylor,2001,Тбилиси,Ресторан,40940,Неполное высшее,нету
Елена,Михайлов,2004,Лондон,Компания А,37547,Среднее специальное,нету
Robert,Абдыкадыров,1969,Мадрид,Университет,48511,Среднее специальное,нету
Екатерина,Воробьев,1943,Тбилиси,ГК Ромашка,67235,Бакалавр,нету
Ольга,Титов,2009,Тбилиси,нет места работы,0,Бакалавр,нету
Emma,Kim,1964,Стамбул,MegaCorp,39080,Среднее специальное,нету
Дмитрий,Шаршеев,1966,Кызыл-Кыя,ИП Сидоров,84265,Магистр,нету
Гульзат,Johnson,1945,Алматы,Салон Красоты,43114,Магистр,есть
Yuki,Султанов,1988,Кант,IT Studio,32257,Среднее,нету
Айбек,Васильев,1959,Жалал-Абад,Нет места работы,125329,Доктор,нету
Станислав,Кузнецов,1947,Жалал-Абад,Компания А,40406,Среднее специальное,нету
Ирина,Лебедев,1965,Кызыл-Кыя,Global Tech,60949,Бакалавр,нету
Наталья,Нурматов,1947,Москва,Салон Красоты,46775,Среднее специальное,нету
Дмитрий,Нурматов,2010,Тбилиси,нет места работы,0,Бакалавр,нету
Нурлан,Singh,1956,Жалал-Абад,Global Tech,56540,Бакалавр,нету
Юлия,Эргешов,2009,Талас,нет места работы,0,Бакалавр,нету
Hiroshi,Anderson,1997,Ош,IT Studio,39493,Среднее,нету
Кирилл,Иванов,1947,Мехико,Ресторан,89792,Магистр,нету
Валерия,Rahman,2005,Жалал-Абад,IT Studio,31484,Среднее,нету
Ирина,Михайлов,1975,Мадрид,Компания А,51021,Среднее специальное,нету
Мээрим,Курманалиев,1997,Кант,Университет,48557,Неполное высшее,нету
Нурия,Сидоров,1957,Лондон,Нет места работы,61349,Магистр,нету
Виктор,Brown,2002,Стамбул,ИП Сидоров,45166,Среднее специальное,нету
Maria,Гусев,1985,Пекин,Школа №1,38148,Среднее специальное,нету
Сезим,Титов,1996,Бишкек,ТранспортСервис,25003,Неполное высшее,есть
Айнура,Кудрявцев,1969,Алматы,Ферма,60560,Доктор,есть
John,Семенов,1975,Тбилиси,GreenFarm,47430,Среднее специальное,нету
Emma,Киселев,1948,Тбилиси,GreenFarm,27531,Среднее,есть
Wei,Шаршеев,1964,Сеул,MegaCorp,66519,Бакалавр,нету
Isabella,Harris,1940,Новосибирск,Нет места работы,74394,Бакалавр,нету
David,Brown,1975,Токтогул,АО Техно,73060,Бакалавр,нету
Ксения,Лебедев,1975,Мехико,Нет места работы,39332,Среднее специальное,нету
Ольга,Ali,1943,Нью-Йорк,ООО Строй,36557,Неполное высшее,нету
Нурия,Карабаев,1948,Лондон,Школа №1,43673,Бакалавр,есть
Нурия,Мамытов,1971,Токтогул,Компания А,44844,Среднее специальное,нету
Эрмек,Морозов,1996,Стамбул,АО Техно,43241,Среднее,нету
Нурзат,Султанов,1948,Токио,IT Studio,38891,Среднее,нету
David,Новиков,1953,Берлин,Ресторан,21862,Среднее,есть
Robert,Сафонов,1941,Екатеринбург,ГК Ромашка,41791,Среднее специальное,нету
Сергей,Harris,2006,Москва,Нет места работы,68920,Бакалавр,нету
Артур,Ali,1956,Лондон,Университет,39185,Среднее специальное,нету
Татьяна,Попов,1947,Каракол,ТранспортСервис,38357,Неполное высшее,нету
Carlos,Ершов,1958,Алматы,Школа №1,41608,Неполное высшее,нету
Юлия,Козлов,1970,Астана,Нет места работы,70955,Магистр,нету
Алиса,Орлов,1948,Москва,Университет,38735,Среднее,нету
Нурия,Rahman,1982,Ереван,АО Техно,41266,Неполное высшее,нету
Алексей,Кудрявцев,1969,Екатеринбург,Компания А,71201,Бакалавр,нету
Нурзат,Егоров,1991,Талас,Нет места работы,48151,Магистр,есть
Isabella,Семенов,1958,Жалал-Абад,ТранспортСервис,36777,Среднее специальное,нету
Сергей,Орлов,1965,Жалал-Абад,Компания А,42258,Среднее,нету
Нурлан,Киселев,1965,Бишкек,Медцентр,35596,Среднее,нету
Наталья,Ниязов,1966,Жалал-Абад,Банк,51991,Среднее специальное,нету
David,Новиков,1955,Каракол,MegaCorp,71943,Магистр,нету
Сезим,Султанов,1994,Лондон,Ферма,30483,Неполное высшее,есть
Азамат,Федоров,1981,Кызыл-Кыя,Global Tech,43976,Среднее,нету
Omar,Егоров,1950,Токио,Global Tech,42613,Среднее специальное,нету
Liu,Эргешов,2003,Астана,Нет места работы,48167,Среднее специальное,нету
Mehmet,Garcia,1974,Тбилиси,АО Техно,39546,Среднее специальное,нету
Алиса,White,1970,Казань,Банк,48187,Неполное высшее,нету
Сезим,Мамытов,2010,Нарын,нет места работы,0,Среднее,нету
Ольга,Токтосунов,1996,Астана,Компания А,43258,Среднее специальное,нету
Fatima,Thomas,1992,Санкт-Петербург,Банк,73768,Магистр,нету
Бакыт,Морозов,1985,Мадрид,ИП Сидоров,41381,Среднее,нету
Софья,Зайцев,1955,Нарын,Компания А,40272,Среднее специальное,нету
Улан,Титов,1957,Сеул,Школа №1,70298,Бакалавр,нету
Данияр,Молдокулов,1991,Казань,Нет места работы,79872,Магистр,нету
Светлана,Smith,1969,Кызыл-Кыя,GreenFarm,70684,Бакалавр,нету
Fatima,Martin,1983,Токио,Салон Красоты,33188,Среднее,нету
Sophia,Singh,1943,Санкт-Петербург,Школа №1,37314,Среднее,нету
Чыңгыз,Ниязов,1968,Новосибирск,MegaCorp,41113,Среднее специальное,нету
Дмитрий,Hernandez,1944,Мехико,GreenFarm,39163,Среднее,нету
Lucas,Smith,1988,Чолпон-Ата,Нет места работы,44391,Магистр,есть
Emma,White,1978,Нарын,Нет места работы,30591,Среднее,нету
Алиса,Новиков,1989,Жалал-Абад,Университет,34362,Неполное высшее,нету
Wei,Петров,1961,Москва,ГК Ромашка,64785,Магистр,нету
James,Rodriguez,1948,Казань,Ферма,98876,Доктор,нету
Ahmed,Беляев,1979,Тбилиси,Ферма,33575,Неполное высшее,нету
Юлия,White,1948,Пекин,GreenFarm,50941,Среднее специальное,нету
Aisha,Martin,1945,Нью-Йорк,ТранспортСервис,40165,Среднее,нету
Айнура,Smith,1962,Новосибирск,Университет,39514,Неполное высшее,нету
Станислав,Hernandez,1952,Казань,Банк,39610,Бакалавр,есть
Hiroshi,Токтосунов,1948,Париж,Салон Красоты,75696,Бакалавр,нету
Juan,Гусев,1987,Нарын,Салон Красоты,62549,Бакалавр,нету
Айбек,Егоров,2004,Ош,Университет,28616,Среднее специальное,есть
Michael,Титов,1990,Ош,Компания А,39738,Среднее,нету
Fatima,Martinez,1999,Нарын,Университет,32203,Среднее,нету
Улан,Беляев,1961,Пекин,MegaCorp,40749,Среднее,нету
Кирилл,Морозов,1941,Берлин,АО Техно,47513,Неполное высшее,нету
Hiroshi,Соловьев,1996,Париж,ГК Ромашка,35762,Среднее,нету
Айгерим,Jackson,1946,Ереван,ООО Строй,35535,Среднее,нету
Эрмек,Орлов,1951,Бишкек,Ферма,47562,Среднее специальное,нету
Егор,Кудрявцев,1952,Токио,АО Техно,73020,Магистр,нету
Марина,Асанов,1981,Баку,Ресторан,74398,Бакалавр,нету
Ирина,Сафонов,1967,Токтогул,Компания А,36236,Среднее специальное,нету
Валерия,Harris,1968,Нарын,АО Техно,53234,Бакалавр,нету
Валерия,Brown,1978,Стамбул,MegaCorp,70813,Бакалавр,нету
Emma,Воробьев,1972,Токтогул,Медцентр,59662,Бакалавр,нету
Асель,Rodriguez,1948,Москва,Global Tech,39316,Среднее,нету
Софья,Gonzalez,1941,Кызыл-Кыя,ООО Строй,40699,Среднее,нету
Нурлан,Соколов,1947,Каракол,Ферма,46919,Среднее специальное,нету
Эрмек,Jackson,1982,Каракол,Global Tech,45924,Неполное высшее,нету
James,Бектуров,1943,Кызыл-Кыя,MegaCorp,62627,Магистр,нету
Нурлан,Кудрявцев,1988,Астана,Нет места работы,47154,Неполное высшее,нету
Егор,Титов,1946,Лондон,Банк,110364,Доктор,нету
Дарья,Абдрахманов,2004,Нарын,Ферма,40185,Среднее специальное,нету
Виктор,Исаев,1978,Жалал-Абад,Нет места работы,53542,Бакалавр,нету
Каныкей,Smith,1988,Талас,Салон Красоты,48925,Среднее специальное,нету
Ali,Сидоров,1988,Новосибирск,MegaCorp,65465,Магистр,нету
Виктор,Мамытов,1988,Екатеринбург,Нет места работы,34590,Неполное высшее,нету
Татьяна,Garcia,1965,Каракол,ТранспортСервис,50167,Магистр,есть
James,Smith,1987,Казань,Салон Красоты,51039,Среднее специальное,нету
Ирина,Абдыкадыров,1960,Чолпон-Ата,ТранспортСервис,63974,Бакалавр,нету
Omar,Эргешов,1947,Лондон,Нет места работы,36617,Среднее специальное,нету
Каныкей,Кузнецов,1958,Кант,ООО Строй,66221,Бакалавр,нету
Владимир,Петров,1954,Стамбул,GreenFarm,44057,Среднее,нету
Ольга,Kim,1964,Мадрид,IT Studio,44522,Среднее специальное,нету
Hiroshi,Калмурзаев,1979,Нью-Йорк,ИП Сидоров,37885,Среднее специальное,нету
Lucas,Молдокулов,1958,Кант,IT Studio,51755,Бакалавр,нету
Кирилл,Martinez,1940,Токтогул,IT Studio,40630,Среднее,нету
Кирилл,Киселев,1987,Талас,ГК Ромашка,62542,Бакалавр,нету
Валерия,Сергеев,1965,Ош,Салон Красоты,62301,Бакалавр,нету
Марина,Воробьев,1950,Жалал-Абад,Школа №1,38535,Среднее,нету
Ali,Martinez,1952,Бишкек,Нет места работы,38489,Среднее,нету
Михаил,Зайцев,1967,Астана,Фабрика,74233,Бакалавр,нету
Ahmed,Ниязов,1994,Москва,ООО Строй,51988,Среднее специальное,нету
Michael,Калмурзаев,1947,Санкт-Петербург,Нет места работы,86093,Магистр,нету
Michael,Михайлов,1943,Ереван,ООО Строй,35447,Среднее,нету
Ahmed,Nguyen,1992,Берлин,Компания А,30445,Среднее,нету
Каныкей,Попов,1981,Берлин,ИП Сидоров,41939,Среднее специальное,нету
Ahmed,Зайцев,1989,Жалал-Абад,GreenFarm,70657,Бакалавр,нету
Hassan,Смирнов,1956,Алматы,MegaCorp,75571,Бакалавр,нету
Fatima,Воробьев,1997,Токтогул,Банк,48805,Среднее специальное,нету
Екатерина,Павлов,1995,Париж,Ресторан,41103,Среднее,нету
Ксения,Мамытов,2000,Мадрид,Нет места работы,53795,Бакалавр,нету
Нурия,Кудрявцев,1948,Лондон,Ресторан,43754,Неполное высшее,нету
Isabella,Thomas,1969,Кызыл-Кыя,Компания А,45118,Неполное высшее,нету
Артур,Семенов,1987,Каракол,Школа №1,70006,Магистр,нету
Hiroshi,Титов,1989,Новосибирск,Медцентр,41641,Неполное высшее,нету
Ксения,Павлов,1990,Бишкек,IT Studio,50229,Среднее специальное,нету
Mehmet,Harris,1958,Ереван,АО Техно,42887,Неполное высшее,нету
Айгерим,Gonzalez,1955,Кант,Ферма,106400,Доктор,нету
Нурзат,Козлов,1982,Каракол,ООО Строй,81203,Магистр,нету
Андрей,Киселев,2002,Нью-Йорк,Банк,52837,Среднее специальное,нету
Juan,Smith,1983,Новосибирск,Ресторан,53343,Бакалавр,нету
Данияр,Бектуров,1964,Париж,GreenFarm,85958,Магистр,нету
Андрей,Жолдошев,1998,Лондон,IT Studio,42964,Среднее,нету
Дарья,Соловьев,1965,Нью-Йорк,ГК Ромашка,68070,Бакалавр,нету
Юлия,Калмурзаев,1994,Берлин,Нет места работы,66236,Магистр,нету
Андрей,Гусев,2005,Лондон,Ресторан,37315,Неполное высшее,нету
Ирина,Абдрахманов,1990,Алматы,Ресторан,45673,Неполное высшее,нету
Екатерина,Martin,1988,Кант,Нет места работы,54431,Бакалавр,нету
Ирина,Martinez,2005,Кызыл-Кыя,Фабрика,40071,Среднее,нету
Анна,Сергеев,1989,Алматы,Медцентр,90335,Доктор,нету
Егор,Li,1963,Казань,MegaCorp,54573,Магистр,есть
Yuki,Martinez,1948,Астана,ГК Ромашка,82729,Магистр,нету
Дарья,Гусев,1963,Сеул,Компания А,54587,Бакалавр,нету
Елена,Ali,1966,Лондон,АО Техно,31412,Среднее,нету
Ирина,Gonzalez,1978,Санкт-Петербург,Школа №1,96382,Доктор,нету
Михаил,Kim,1977,Берлин,Компания А,44895,Среднее специальное,нету
Чыңгыз,Li,2005,Чолпон-Ата,Нет места работы,52491,Бакалавр,нету
Юлия,Жолдошев,1967,Каракол,Медцентр,69303,Бакалавр,нету
William,Морозов,2010,Кант,нет места работы,0,Неполное высшее,нету
Владимир,Johnson,1998,Нарын,Медцентр,76475,Магистр,нету
Максим,Нурматов,1964,Париж,Банк,43149,Среднее специальное,нету
Светлана,Султанов,1995,Казань,ГК Ромашка,37764,Среднее,нету
Juan,Brown,1948,Москва,Фабрика,55152,Бакалавр,нету
Ксения,Шаршеев,1941,Токтогул,ГК Ромашка,49305,Среднее специальное,нету
Ирина,Киселев,2007,Нью-Йорк,ГК Ромашка,76276,Магистр,нету
Lucas,Бектуров,2010,Кант,нет места работы,0,Бакалавр,нету
Андрей,Воробьев,1980,Стамбул,MegaCorp,45387,Среднее специальное,нету
Michael,Rodriguez,1956,Кант,Медцентр,32237,Среднее,нету
Emma,Нурматов,1946,Мехико,ООО Строй,68068,Бакалавр,нету
James,Harris,1963,Екатеринбург,Фабрика,124983,Доктор,нету
Wei,Сафонов,1979,Лондон,Компания А,85366,Магистр,нету
Ольга,Морозов,1970,Нарын,MegaCorp,28084,Среднее,есть
Иван,Anderson,2005,Мехико,MegaCorp,68545,Бакалавр,нету
Michael,Петров,1964,Мехико,MegaCorp,54063,Магистр,есть
Нурлан,Wang,1945,Ереван,Global Tech,51358,Среднее специальное,нету
Виктор,Морозов,1986,Пекин,Нет места работы,37253,Среднее,нету
Кирилл,Эргешов,1954,Москва,ГК Ромашка,69410,Магистр,нету
Ali,Токтосунов,1973,Чолпон-Ата,IT Studio,43417,Среднее,нету
Liu,Смирнов,1999,Мадрид,Университет,59577,Бакалавр,нету
Чыңгыз,Павлов,1940,Санкт-Петербург,ГК Ромашка,73455,Магистр,нету
Алиса,Соколов,2007,Астана,Школа №1,65546,Магистр,нету
Айбек,Кудрявцев,2000,Казань,MegaCorp,49793,Среднее специальное,нету
Марина,Jackson,1996,Талас,Нет места работы,42770,Среднее,нету
Алиса,Семенов,1964,Жалал-Абад,АО Техно,32488,Среднее,нету
Алиса,Rodriguez,1974,Токтогул,Медцентр,41541,Среднее специальное,нету
Michael,Gonzalez,1989,Каракол,Нет места работы,32420,Среднее,нету
Hassan,Петров,1970,Ош,Школа №1,62146,Бакалавр,нету
Азамат,Бектуров,2002,Нарын,Global Tech,56137,Бакалавр,нету
Улан,Семенов,1973,Париж,ГК Ромашка,44497,Неполное высшее,нету
Hassan,Сергеев,1964,Сеул,Медцентр,61343,Бакалавр,нету
Улан,Титов,1958,Новосибирск,Ресторан,35999,Среднее,нету
Айгерим,Сафонов,1968,Москва,АО Техно,27931,Среднее специальное,есть
Жаныбек,Сатыбалдиев,1975,Санкт-Петербург,Банк,52592,Бакалавр,нету
Андрей,Асанов,1967,Жалал-Абад,Банк,40310,Среднее специальное,нету
Omar,Сатыбалдиев,1982,Жалал-Абад,Медцентр,34918,Среднее,нету
Каныкей,Wang,1987,Кызыл-Кыя,ГК Ромашка,54768,Бакалавр,нету
Ирина,Попов,1964,Чолпон-Ата,MegaCorp,66630,Бакалавр,нету
Айнура,Garcia,1965,Баку,MegaCorp,45191,Бакалавр,есть
Isabella,Молдокулов,1986,Екатеринбург,Нет места работы,61774,Бакалавр,нету
Hassan,Сидоров,1961,Ереван,GreenFarm,34415,Неполное высшее,нету
Артур,Smith,2003,Берлин,Университет,48762,Среднее специальное,нету
Элина,Singh,1989,Казань,Нет места работы,65486,Бакалавр,нету
Иван,Nguyen,1998,Астана,ООО Строй,58796,Бакалавр,нету
Жаныбек,Patel,1955,Талас,Медцентр,48290,Неполное высшее,нету
Улан,Михайлов,1974,Сеул,Ферма,64580,Бакалавр,нету
Алексей,Молдокулов,1987,Москва,Медцентр,36014,Среднее,нету
Азамат,Асанов,1947,Лондон,Фабрика,66153,Магистр,нету
Дмитрий,Li,1953,Нью-Йорк,MegaCorp,56605,Бакалавр,нету
Maria,Кудрявцев,1981,Кант,Ресторан,35908,Неполное высшее,нету
Софья,Thomas,1987,Каракол,Банк,84514,Магистр,нету
Виктор,Титов,2002,Нью-Йорк,Банк,41831,Среднее,нету
Артур,Новиков,1958,Нарын,Ресторан,37732,Среднее специальное,нету
Yuki,Михайлов,1941,Ереван,Школа №1,41062,Среднее,нету
Михаил,Романов,1971,Стамбул,Школа №1,41474,Среднее,нету
Иван,Павлов,2009,Нью-Йорк,нет места работы,0,Магистр,нету
Ольга,Орлов,1957,Алматы,IT Studio,59655,Бакалавр,нету
Светлана,Исаев,1947,Баку,АО Техно,54096,Бакалавр,нету
Азамат,Павлов,2005,Мадрид,Школа №1,67588,Магистр,нету
Элина,Ершов,1985,Лондон,ГК Ромашка,41201,Неполное высшее,нету
Наталья,Кудрявцев,1953,Жалал-Абад,ИП Сидоров,51218,Среднее специальное,нету
Светлана,Киселев,1994,Астана,IT Studio,43294,Неполное высшее,нету
Данияр,Молдокулов,1953,Кант,ИП Сидоров,83745,Магистр,нету
Светлана,Ершов,1980,Каракол,Нет места работы,49846,Среднее специальное,нету
Наталья,Ali,1994,Нью-Йорк,Банк,45542,Неполное высшее,нету
Чыңгыз,Султанов,2003,Новосибирск,Компания А,38376,Среднее специальное,нету
Нурлан,Абдыкадыров,1993,Баку,ООО Строй,42554,Среднее специальное,нету
Noah,Taylor,2007,Тбилиси,ИП Сидоров,57310,Бакалавр,нету
Алексей,Егоров,1942,Санкт-Петербург,АО Техно,73729,Бакалавр,нету
Каныкей,Михайлов,1977,Екатеринбург,Салон Красоты,33656,Среднее,нету
Ксения,Козлов,1957,Токтогул,Школа №1,114567,Доктор,нету
William,Эргешов,1946,Париж,Банк,30638,Среднее,нету
Каныкей,Ершов,1950,Кызыл-Кыя,Медцентр,41090,Среднее,нету
Ahmed,Михайлов,2007,Париж,Университет,83531,Магистр,нету
Иван,Бектуров,1954,Каракол,Банк,37364,Среднее,нету
Иван,Smith,1994,Берлин,Фабрика,87490,Магистр,нету
Hassan,Карабаев,1969,Новосибирск,Ресторан,89179,Магистр,нету
Елена,Соловьев,1991,Ереван,MegaCorp,38811,Среднее,нету
Максим,Martin,2001,Москва,АО Техно,71106,Бакалавр,нету
William,Титов,1974,Токтогул,Компания А,30608,Среднее,нету
Данияр,Беляев,2009,Токтогул,нет места работы,0,Среднее,нету
Иван,Карабаев,1964,Баку,ИП Сидоров,48835,Неполное высшее,нету
Emma,Попов,2001,Ош,ТранспортСервис,40895,Среднее,нету
John,Gonzalez,1964,Москва,ГК Ромашка,59644,Бакалавр,нету
Hassan,Зайцев,2004,Токио,Нет места работы,43594,Бакалавр,есть
Николай,Токтосунов,1960,Каракол,ООО Строй,47394,Бакалавр,есть
Юлия,Беляев,2004,Астана,Компания А,104469,Доктор,нету
Елена,Ниязов,1977,Санкт-Петербург,Нет места работы,68907,Бакалавр,нету
Элина,Абдрахманов,1966,Ереван,Нет места работы,53964,Бакалавр,нету
Иван,Ершов,1979,Баку,Нет места работы,63778,Магистр,нету
Асель,Воробьев,1977,Талас,ИП Сидоров,32756,Среднее,нету
Aisha,Курманалиев,2000,Кант,ГК Ромашка,75194,Бакалавр,нету
Omar,Попов,1986,Сеул,Медцентр,40398,Неполное высшее,нету
Liu,Султанов,1987,Нарын,АО Техно,66669,Бакалавр,нету
Павел,Исаев,1941,Каракол,Ресторан,85613,Магистр,нету
Ксения,Абдыкадыров,1999,Берлин,Университет,31760,Среднее,нету
Станислав,Павлов,1990,Стамбул,Компания А,52928,Среднее специальное,нету
Omar,Соловьев,2000,Токтогул,Нет места работы,24623,Неполное высшее,есть
Валерия,Султанов,1944,Ереван,Салон Красоты,48594,Бакалавр,есть
Валерия,Лебедев,1967,Сеул,Фабрика,39246,Среднее,нету
Ольга,Ершов,1948,Кант,Салон Красоты,44931,Среднее специальное,нету
Бакыт,Сергеев,1946,Нарын,IT Studio,65802,Магистр,нету
Бегимай,Taylor,2001,Алматы,Салон Красоты,42047,Среднее специальное,нету
Lucas,Абдыкадыров,1941,Баку,GreenFarm,66569,Бакалавр,нету
Гульзат,Султанов,1941,Каракол,Компания А,64338,Магистр,нету
Robert,Курманалиев,2006,Нью-Йорк,Медцентр,39226,Среднее,нету
Noah,Зайцев,1944,Чолпон-Ата,Банк,66191,Бакалавр,нету
Валерия,Молдокулов,1966,Чолпон-Ата,Нет места работы,119345,Доктор,нету
Дмитрий,Жолдошев,1979,Астана,Университет,72973,Магистр,нету
Чыңгыз,Байгазиев,2009,Новосибирск,нет места работы,0,Среднее специальное,нету
Нурия,Семенов,1962,Екатеринбург,MegaCorp,43423,Среднее специальное,нету
Данияр,Thomas,1976,Париж,ИП Сидоров,71169,Бакалавр,нету
Марина,Васильев,1942,Ереван,MegaCorp,63939,Магистр,нету
Maria,Gonzalez,1944,Берлин,Университет,42142,Неполное высшее,нету
Наталья,Орлов,2000,Токтогул,Ресторан,36161,Среднее специальное,нету
Сезим,Кудрявцев,2004,Жалал-Абад,Салон Красоты,44059,Неполное высшее,нету
Алексей,Taylor,1944,Бишкек,Global Tech,41867,Среднее,нету
Асель,Кадыров,1961,Тбилиси,Ферма,111324,Доктор,нету
John,Лебедев,1994,Каракол,Ресторан,87060,Магистр,нету
Wei,Беляев,1995,Кызыл-Кыя,GreenFarm,41358,Среднее,нету
